actual,pred_prob_mod1,pred_prob_mod2
0,0.1926094938462863,0.1515619344179663
1,0.8909231233791342,0.6656773157840741
1,0.794306794,0.6703175608050533
1,0.8525712073494108,0.7187149507491033
0,0.18192871789787698,0.26002480051530585
0,0.002759115,0.5477616142481002
0,0.030441463,0.2946008393670816
1,0.9266653415629146,0.561478236
1,0.7686394496474867,0.7975930973843519
1,0.7230939729486379,0.5354161256310371
0,0.16462013680997584,0.2596568187952074
1,0.7483663861762013,0.439228191
1,0.9789092957027719,0.4126753717077288
0,0.067280793,0.3867189440616431
0,0.21365376640426076,0.4159186060848996
0,0.071174726,0.3242227609891599
0,0.097619909,0.24660538584903227
1,0.7559710176658108,0.4866471600354229
0,0.1948898697141644,0.43625922803851924
0,0.2547670231482534,0.476187265
1,0.9422320465492188,0.6746133323530603
0,0.1704925810006415,0.4948090713972769
0,0.028102430348427743,0.1456030515243452
0,0.11031474091783006,0.3472101523512907
0,0.07956071,0.12877938000832215
1,0.8281323365878769,0.7689484583478843
0,0.29190316642573366,0.3207652506866885
1,0.958219175,0.7058603731171762
1,0.7020856391593572,0.6098000312138949
0,0.18934158779917887,0.15853350821380294
1,0.8252233009446337,0.5779863393256308
0,0.15079112793155763,0.4807553158587361
0,0.17307116538790773,0.4091090316581305
1,0.8012845514210883,0.45803632025345814
1,0.9828729111737557,0.4230013210108764
1,0.7969608796062265,0.4203644011594851
0,0.084231709,0.13638150318209677
0,0.00729479,0.5109300296451781
1,0.8090888807137881,0.6370869145436626
0,0.053133204,0.1406743903209499
0,0.2821375753058743,0.14241885704259596
0,0.2861785731007762,0.5933197892505877
0,0.2744593170661345,0.2871353978780602
1,0.7902634929450308,0.6169258246189866
0,0.004636985,0.5063997836287513
1,0.7110660842063597,0.7079250490261082
0,0.1284552444951943,0.5930005319114354
1,0.8508037069686585,0.4226520048860223
1,0.7154436253749967,0.5873063073132356
0,0.255902837,0.1417503583493344
1,0.9724797657899962,0.6515681292900439
1,0.7718685672000917,0.8282449205941611
1,0.7434684616273669,0.7293468158094725
1,0.8468358280832688,0.48146721354071487
1,0.9956951362331803,0.43528437370021494
1,0.7726165814534501,0.7212096391031578
0,0.2808464322482343,0.10567682238370954
0,0.2088089390024919,0.33433032099706317
0,0.17101835102680948,0.12815163784091868
0,0.029152948,0.15940895813403597
0,0.18450216800975092,0.15876312338855245
0,0.297016155,0.42460515105803176
1,0.8900589132282684,0.6291264452457583
0,0.155498896,0.39168438254857985
0,0.26321192157838663,0.581086274
1,0.9505907486767714,0.5930513189003872
0,0.20910472229858038,0.24285604314093037
1,0.7559555531199562,0.8526753209780319
0,0.10784734536592655,0.21179791925972632
1,0.8772678829564725,0.43468065043758275
1,0.9032693085526847,0.45038900068871335
0,0.24303401840375422,0.5849394133538195
0,0.2601216955740311,0.12157995597528806
1,0.7679487325593813,0.7415033867081784
1,0.8935518371228349,0.4355943242301145
1,0.7523099287014974,0.5594878151468807
1,0.9072813214307398,0.8224376554847272
0,0.19498917923332953,0.37692714220066037
0,0.210590063,0.5846512678095495
0,0.2387378008308303,0.3615489220850744
1,0.8023199053150776,0.45908241381082815
1,0.7340420563721767,0.7483685826820754
0,0.1126748857919832,0.3272705323838866
0,0.028194581952260697,0.4137790400420317
0,0.1734840422988522,0.3921571559615501
0,0.010782682139022625,0.5505790052454945
1,0.9451666600603648,0.5410172862856533
1,0.8665602434798387,0.48871977188986143
1,0.8588951735068019,0.7753073758204292
0,0.17724997817070323,0.5451318919454582
0,0.009150075,0.32782837639285645
1,0.969164727,0.6063088384557133
1,0.9701254171489991,0.5860090428963916
1,0.8899304371819804,0.7882064803709985
1,0.8017089373146101,0.57040177
0,0.1566729780164413,0.2766761140130264
1,0.9177867036610718,0.8292063759215059
0,0.064746308,0.13886731848249242
0,0.18686714274570007,0.5871974038330833
0,0.025604239,0.5931053722398014
