City,Country,Venue,NumOpeningActs,OpeningAct1,OpeningAct2,OpeningAct3,TicketsSold,TicketsAvailable,SoldOut,Revenue,Tour
Sydney,Australia,Acer Arena,1,Gloriana,,,27030,27030,1,2030640,Fearless_Tour
Sydney,Australia,Acer Arena,1,Gloriana,,,27030,27030,1,2030640,Fearless_Tour
Newcastle,Australia,Newcastle Entertainment Centre,1,Gloriana,,,7180,7180,1,555396,Fearless_Tour
Melbourne,Australia,Rod Laver Arena,1,Gloriana,,,23493,23493,1,1627510,Fearless_Tour
Melbourne,Australia,Rod Laver Arena,1,Gloriana,,,23493,23493,1,1627510,Fearless_Tour
Adelaide,Australia,Adelaide Entertainment Centre,1,Gloriana,,,9066,9066,1,585352,Fearless_Tour
Tokyo,Japan,Zepp Tokyo,,,,,,,,,Fearless_Tour
Tampa,United States,St. Pete Times Forum,2,Gloriana,Kellie Pickler,,13861,13861,1,793049,Fearless_Tour
Orlando,United States,Amway Arena,2,Gloriana,Kellie Pickler,,11101,11101,1,598581,Fearless_Tour
Sunrise,United States,BankAtlantic Center,2,Gloriana,Kellie Pickler,,13453,13453,1,777442,Fearless_Tour
Austin,United States,Frank Erwin Center,2,Gloriana,Kellie Pickler,,11928,11928,1,642705,Fearless_Tour
Dallas,United States,American Airlines Center,2,Gloriana,Kellie Pickler,,14022,14022,1,742954,Fearless_Tour
Corpus Christi,United States,American Bank Center Arena,2,Gloriana,Kellie Pickler,,8423,8423,1,501169,Fearless_Tour
Philadelphia,United States,Wells Fargo Center,2,Gloriana,Kellie Pickler,,30360,30360,1,2002321,Fearless_Tour
Philadelphia,United States,Wells Fargo Center,2,Gloriana,Kellie Pickler,,30360,30360,1,2002321,Fearless_Tour
Charlottesville,United States,John Paul Jones Arena,2,Gloriana,Kellie Pickler,,11858,11858,1,664305,Fearless_Tour
Auburn Hills,United States,The Palace of Auburn Hills,2,Gloriana,Kellie Pickler,,29125,29125,1,1711591,Fearless_Tour
Auburn Hills,United States,The Palace of Auburn Hills,2,Gloriana,Kellie Pickler,,29125,29125,1,1711591,Fearless_Tour
Cincinnati,United States,U.S. Bank Arena,2,Gloriana,Kellie Pickler,,11208,11208,1,645592,Fearless_Tour
Oklahoma City,United States,Ford Center,2,Gloriana,Kellie Pickler,,11795,11795,1,675184,Fearless_Tour
Wichita,United States,Intrust Bank Arena,2,Gloriana,Kellie Pickler,,11208,11208,1,610801,Fearless_Tour
Kansas City,United States,Sprint Center,2,Gloriana,Kellie Pickler,,13781,13781,1,761110,Fearless_Tour
Denver,United States,Pepsi Center,2,Gloriana,Kellie Pickler,,25991,25991,1,1497135,Fearless_Tour
Denver,United States,Pepsi Center,2,Gloriana,Kellie Pickler,,25991,25991,1,1497135,Fearless_Tour
Fresno,United States,Save Mart Center,2,Gloriana,Kellie Pickler,,11706,11706,1,649488,Fearless_Tour
San Jose,United States,HP Pavilion,2,Gloriana,Kellie Pickler,,12744,12744,1,716726,Fearless_Tour
Los Angeles,United States,Staples Center,2,Gloriana,Kellie Pickler,,27518,27518,1,1736197,Fearless_Tour
Los Angeles,United States,Staples Center,2,Gloriana,Kellie Pickler,,27518,27518,1,1736197,Fearless_Tour
Lexington,United States,Rupp Arena,2,Gloriana,Kellie Pickler,,17966,17966,1,1024223,Fearless_Tour
Columbia,United States,Colonial Life Arena,2,Gloriana,Kellie Pickler,,13429,13429,1,755475,Fearless_Tour
Raleigh,United States,RBC Center,2,Gloriana,Kellie Pickler,,13895,13895,1,752303,Fearless_Tour
Des Moines,United States,Wells Fargo Arena,2,Gloriana,Kellie Pickler,,13264,13264,1,738280,Fearless_Tour
Saint Paul,United States,Xcel Energy Center,2,Gloriana,Kellie Pickler,,14914,14914,1,846111,Fearless_Tour
Moline,United States,iWireless Center,2,Gloriana,Kellie Pickler,,10641,10641,1,610668,Fearless_Tour
Newark,United States,Prudential Center,2,Gloriana,Kellie Pickler,,26065,26065,1,1742669,Fearless_Tour
Newark,United States,Prudential Center,2,Gloriana,Kellie Pickler,,26065,26065,1,1742669,Fearless_Tour
Uniondale,United States,Nassau Veterans Memorial Coliseum,2,Gloriana,Kellie Pickler,,25831,25831,1,1713529,Fearless_Tour
Uniondale,United States,Nassau Veterans Memorial Coliseum,2,Gloriana,Kellie Pickler,,25831,25831,1,1713529,Fearless_Tour
Ottawa,Canada,Scotiabank Place,2,Gloriana,Kellie Pickler,,13376,13376,1,873206,Fearless_Tour
Toronto,Canada,Air Canada Centre,2,Gloriana,Kellie Pickler,,30458,30458,1,2497690,Fearless_Tour
Toronto,Canada,Air Canada Centre,2,Gloriana,Kellie Pickler,,30458,30458,1,2497690,Fearless_Tour
Houston,United States,Toyota Center,2,Gloriana,Kellie Pickler,,23493,23493,1,1290926,Fearless_Tour
Houston,United States,Toyota Center,2,Gloriana,Kellie Pickler,,23493,23493,1,1290926,Fearless_Tour
Baton Rouge,United States,Tiger Stadium,,,,,,,,,Fearless_Tour
Washington,United States,Verizon Center,2,Gloriana,Kellie Pickler,,27290,27290,1,1824743,Fearless_Tour
Washington,United States,Verizon Center,2,Gloriana,Kellie Pickler,,27290,27290,1,1824743,Fearless_Tour
Foxborough,United States,Gillette Stadium,3,Gloriana,Justin Bieber,Kellie Pickler,56868,56868,1,3726157,Fearless_Tour
Nassau,The Bahamas,Imperial Ballroom,2,Gloriana,Kellie Pickler,,,,,,Fearless_Tour
Cavendish,Canada,Cavendish Beach Festival Grounds,,,,,35000,35000,1,,Fearless_Tour
Singapore,Singapore,Singapore Indoor Stadium,1,Sezairi Sezali,,,8964,8964,1,916850,Speak_Now_World_Tour
Seoul,South Korea,Olympic Gymnastics Arena,,,,,4725,4725,1,385374,Speak_Now_World_Tour
Osaka,Japan,Osaka-Jo Hall,,,,,6953,6953,1,758113,Speak_Now_World_Tour
Tokyo,Japan,Nippon Budokan,,,,,15955,15955,1,1738227,Speak_Now_World_Tour
Tokyo,Japan,Nippon Budokan,,,,,15955,15955,1,1738227,Speak_Now_World_Tour
Quezon City,Philippines,Smart Araneta Coliseum,1,Sam Concepcion,,,12667,12667,1,859037,Speak_Now_World_Tour
Hong Kong,Hong Kong,AsiaWorldArena,1,Saito Johnny,,,12573,12573,1,1030633,Speak_Now_World_Tour
Brussels,Belgium,Forest National,1,Tom Dice,,,4622,4622,1,219212,Speak_Now_World_Tour
Rotterdam,Netherlands,Sportpaleis van Ahoy,1,Tom Dice,,,4799,4799,1,248314,Speak_Now_World_Tour
Oslo,Norway,Oslo Spektrum,,,,,8650,8650,1,815246,Speak_Now_World_Tour
Oberhausen,Germany,König Pilsener Arena,1,Martin & James,,,6082,6082,1,370028,Speak_Now_World_Tour
Milan,Italy,Mediolanum Forum,1,Emma Marrone,,,3421,5585,0,153303,Speak_Now_World_Tour
Paris,France,Zénith de Paris,,,,,3598,8500,0,201781,Speak_Now_World_Tour
Madrid,Spain,Palacio de los Deportes,1,The Bright,,,3962,3962,1,251864,Speak_Now_World_Tour
Birmingham,England,LG Arena,1,Martin & James,,,9339,9339,1,508854,Speak_Now_World_Tour
Belfast,Northern Ireland,Odyssey Arena,1,Ryan Sheridan,,,8058,8058,1,379001,Speak_Now_World_Tour
Dublin,Ireland,The O2,1,Ryan Sheridan,,,8681,8681,1,419806,Speak_Now_World_Tour
Manchester,England,Manchester Evening News Arena,1,Martin & James,,,10488,11622,0,580558,Speak_Now_World_Tour
London,England,The O2 Arena,1,Martin & James,,,15265,15681,0,891152,Speak_Now_World_Tour
Omaha,United States,Qwest Center Omaha,1,Needtobreathe,,,26992,26992,1,1717104,Speak_Now_World_Tour
Omaha,United States,Qwest Center Omaha,1,Needtobreathe,,,26992,26992,1,1717104,Speak_Now_World_Tour
Des Moines,United States,Wells Fargo Arena,1,Needtobreathe,,,13149,13149,1,862771,Speak_Now_World_Tour
Sunrise,United States,BankAtlantic Center,1,Needtobreathe,,,24077,24077,1,1582951,Speak_Now_World_Tour
Sunrise,United States,BankAtlantic Center,1,Needtobreathe,,,24077,24077,1,1582951,Speak_Now_World_Tour
Orlando,United States,Amway Center,1,Needtobreathe,,,12262,12262,1,791980,Speak_Now_World_Tour
Columbus,United States,Nationwide Arena,1,Needtobreathe,,,14817,14817,1,955259,Speak_Now_World_Tour
Milwaukee,United States,Bradley Center,1,Needtobreathe,,,13748,13748,1,897042,Speak_Now_World_Tour
Detroit,United States,Ford Field,1,Needtobreathe,,,47992,47992,1,3453549,Speak_Now_World_Tour
Saint Paul,United States,Xcel Energy Center,1,Needtobreathe,,,28977,28977,1,1913737,Speak_Now_World_Tour
Saint Paul,United States,Xcel Energy Center,1,Needtobreathe,,,28977,28977,1,1913737,Speak_Now_World_Tour
Pittsburgh,United States,Heinz Field,1,Needtobreathe,,,52009,52009,1,4009118,Speak_Now_World_Tour
Buffalo,United States,First Niagara Center,1,Needtobreathe,,,14487,14487,1,966749,Speak_Now_World_Tour
Hartford,United States,XL Center,1,Needtobreathe,,,12436,12436,1,810165,Speak_Now_World_Tour
Foxborough,United States,Gillette Stadium,1,Needtobreathe,,,110800,110800,1,8026350,Speak_Now_World_Tour
Foxborough,United States,Gillette Stadium,1,Needtobreathe,,,110800,110800,1,8026350,Speak_Now_World_Tour
Greensboro,United States,Greensboro Coliseum,1,Needtobreathe,,,14789,14789,1,990701,Speak_Now_World_Tour
Knoxville,United States,ThompsonBoling Arena,1,Needtobreathe,,,13754,13754,1,903875,Speak_Now_World_Tour
Montreal,Canada,Bell Centre,1,Needtobreathe,,,13439,13439,1,1254230,Speak_Now_World_Tour
Toronto,Canada,Air Canada Centre,1,Needtobreathe,,,30144,30144,1,3036000,Speak_Now_World_Tour
Toronto,Canada,Air Canada Centre,1,Needtobreathe,,,30144,30144,1,3036000,Speak_Now_World_Tour
Newark,United States,Prudential Center,1,Needtobreathe,,,51487,51487,1,3875463,Speak_Now_World_Tour
Newark,United States,Prudential Center,1,Needtobreathe,,,51487,51487,1,3875463,Speak_Now_World_Tour
Newark,United States,Prudential Center,1,Needtobreathe,,,51487,51487,1,3875463,Speak_Now_World_Tour
Newark,United States,Prudential Center,1,Needtobreathe,,,51487,51487,1,3875463,Speak_Now_World_Tour
Grand Rapids,United States,Van Andel Arena,1,Needtobreathe,,,11012,11012,1,724854,Speak_Now_World_Tour
Indianapolis,United States,Conseco Fieldhouse,1,Needtobreathe,,,13329,13329,1,877175,Speak_Now_World_Tour
Cleveland,United States,Quicken Loans Arena,1,Needtobreathe,,,14873,14873,1,976954,Speak_Now_World_Tour
Washington,United States,Verizon Center,1,Needtobreathe,,,29303,29303,1,2068789,Speak_Now_World_Tour
Washington,United States,Verizon Center,1,Needtobreathe,,,29303,29303,1,2068789,Speak_Now_World_Tour
Philadelphia,United States,Lincoln Financial Field,1,Needtobreathe,,,51395,51395,1,4268678,Speak_Now_World_Tour
Rosemont,United States,Allstate Arena,1,Needtobreathe,,,26112,26112,1,1909603,Speak_Now_World_Tour
Rosemont,United States,Allstate Arena,1,Needtobreathe,,,26112,26112,1,1909603,Speak_Now_World_Tour
St. Louis,United States,Scottrade Center,1,Needtobreathe,,,27965,27965,1,1850159,Speak_Now_World_Tour
St. Louis,United States,Scottrade Center,1,Needtobreathe,,,27965,27965,1,1850159,Speak_Now_World_Tour
Edmonton,Canada,Rexall Place,1,Needtobreathe,,,25336,25336,1,2136270,Speak_Now_World_Tour
Edmonton,Canada,Rexall Place,1,Needtobreathe,,,25336,25336,1,2136270,Speak_Now_World_Tour
Los Angeles,United States,Staples Center,1,Needtobreathe,,,54900,54900,1,3927154,Speak_Now_World_Tour
Los Angeles,United States,Staples Center,1,Needtobreathe,,,54900,54900,1,3927154,Speak_Now_World_Tour
Los Angeles,United States,Staples Center,1,Needtobreathe,,,54900,54900,1,3927154,Speak_Now_World_Tour
Los Angeles,United States,Staples Center,1,Needtobreathe,,,54900,54900,1,3927154,Speak_Now_World_Tour
San Jose,United States,HP Pavilion,1,Needtobreathe,,,24827,24827,1,1825448,Speak_Now_World_Tour
San Jose,United States,HP Pavilion,1,Needtobreathe,,,24827,24827,1,1825448,Speak_Now_World_Tour
Sacramento,United States,Power Balance Pavilion,1,Needtobreathe,,,12432,12432,1,934326,Speak_Now_World_Tour
Portland,United States,Rose Garden Arena,1,Needtobreathe,,,13610,13610,1,903445,Speak_Now_World_Tour
Tacoma,United States,Tacoma Dome,1,Needtobreathe,,,19904,19904,1,1289430,Speak_Now_World_Tour
Vancouver,Canada,Rogers Arena,1,Needtobreathe,,,26030,26030,1,2190680,Speak_Now_World_Tour
Vancouver,Canada,Rogers Arena,1,Needtobreathe,,,26030,26030,1,2190680,Speak_Now_World_Tour
Nashville,United States,Bridgestone Arena,1,Needtobreathe,,,28178,28178,1,1841134,Speak_Now_World_Tour
Nashville,United States,Bridgestone Arena,1,Needtobreathe,,,28178,28178,1,1841134,Speak_Now_World_Tour
Bossier City,United States,CenturyLink Center,1,Needtobreathe,,,11510,11510,1,728546,Speak_Now_World_Tour
Tulsa,United States,BOK Center,1,Needtobreathe,,,12546,12546,1,907573,Speak_Now_World_Tour
Kansas City,United States,Arrowhead Stadium,1,Needtobreathe,,,48562,48562,1,3148046,Speak_Now_World_Tour
Denver,United States,Pepsi Center,1,Needtobreathe,,,12908,12908,1,834916,Speak_Now_World_Tour
Salt Lake City,United States,EnergySolutions Arena,1,Needtobreathe,,,13720,13720,1,896946,Speak_Now_World_Tour
Atlanta,United States,Philips Arena,1,Needtobreathe,,,26244,26244,1,1726661,Speak_Now_World_Tour
Atlanta,United States,Philips Arena,1,Needtobreathe,,,26244,26244,1,1726661,Speak_Now_World_Tour
North Little Rock,United States,Verizon Arena,1,Needtobreathe,,,13566,13566,1,856123,Speak_Now_World_Tour
New Orleans,United States,New Orleans Arena,1,Needtobreathe,,,12943,12943,1,830289,Speak_Now_World_Tour
Arlington,United States,Cowboys Stadium,1,Needtobreathe,,,55451,55451,1,4337062,Speak_Now_World_Tour
Louisville,United States,KFC Yum! Center,1,Needtobreathe,,,14848,14848,1,1003828,Speak_Now_World_Tour
Lubbock,United States,United Spirit Arena,1,Needtobreathe,,,10419,10419,1,710426,Speak_Now_World_Tour
Oklahoma City,United States,Chesapeake Energy Arena,1,Needtobreathe,,,11592,11592,1,758364,Speak_Now_World_Tour
San Diego,United States,Valley View Casino Center,1,Needtobreathe,,,10834,10834,1,792634,Speak_Now_World_Tour
Glendale,United States,Jobing.com Arena,1,Needtobreathe,,,27029,27029,1,1826025,Speak_Now_World_Tour
Glendale,United States,Jobing.com Arena,1,Needtobreathe,,,27029,27029,1,1826025,Speak_Now_World_Tour
San Antonio,United States,AT&T Center,1,Needtobreathe,,,13851,13851,1,901535,Speak_Now_World_Tour
Austin,United States,Frank Erwin Center,1,Needtobreathe,,,11999,11999,1,752078,Speak_Now_World_Tour
Lexington,United States,Rupp Arena,1,Needtobreathe,,,16237,16237,1,1041935,Speak_Now_World_Tour
Memphis,United States,FedExForum,1,Needtobreathe,,,12604,12604,1,820036,Speak_Now_World_Tour
Houston,United States,Minute Maid Park,1,Needtobreathe,,,42095,42095,1,3435756,Speak_Now_World_Tour
Jacksonville,United States,Jacksonville Veterans Memorial Arena,1,Needtobreathe,,,11785,11785,1,749099,Speak_Now_World_Tour
Tampa,United States,St. Pete Times Forum,1,Needtobreathe,,,13695,13695,1,914300,Speak_Now_World_Tour
Miami,United States,American Airlines Arena,1,Needtobreathe,,,12153,12153,1,786904,Speak_Now_World_Tour
Charlotte,United States,Time Warner Cable Arena,1,Needtobreathe,,,14272,14272,1,920903,Speak_Now_World_Tour
Raleigh,United States,RBC Center,1,Needtobreathe,,,13567,13567,1,866056,Speak_Now_World_Tour
Columbia,United States,Colonial Life Arena,1,Needtobreathe,,,12807,12807,1,828231,Speak_Now_World_Tour
New York,United States,Madison Square Garden,1,Needtobreathe,,,26652,26652,1,1988411,Speak_Now_World_Tour
New York,United States,Madison Square Garden,1,Needtobreathe,,,26652,26652,1,1988411,Speak_Now_World_Tour
Perth,Australia,Burswood Dome,1,Hot Chelle Rae,,,15142,15142,1,1878530,Speak_Now_World_Tour
Adelaide,Australia,Adelaide Entertainment Centre,1,Hot Chelle Rae,,,8589,8589,1,1075370,Speak_Now_World_Tour
Brisbane,Australia,Brisbane Entertainment Centre,1,Hot Chelle Rae,,,19870,19870,1,2416030,Speak_Now_World_Tour
Brisbane,Australia,Brisbane Entertainment Centre,1,Hot Chelle Rae,,,19870,19870,1,2416030,Speak_Now_World_Tour
Sydney,Australia,Allphones Arena,1,Hot Chelle Rae,,,27900,27900,1,3420360,Speak_Now_World_Tour
Sydney,Australia,Allphones Arena,1,Hot Chelle Rae,,,27900,27900,1,3420360,Speak_Now_World_Tour
Melbourne,Australia,Rod Laver Arena,1,Hot Chelle Rae,,,33793,33793,1,4151650,Speak_Now_World_Tour
Melbourne,Australia,Rod Laver Arena,1,Hot Chelle Rae,,,33793,33793,1,4151650,Speak_Now_World_Tour
Melbourne,Australia,Rod Laver Arena,1,Hot Chelle Rae,,,33793,33793,1,4151650,Speak_Now_World_Tour
Auckland,New Zealand,Vector Arena,1,Hot Chelle Rae,,,32585,32585,1,2888560,Speak_Now_World_Tour
Auckland,New Zealand,Vector Arena,1,Hot Chelle Rae,,,32585,32585,1,2888560,Speak_Now_World_Tour
Auckland,New Zealand,Vector Arena,1,Hot Chelle Rae,,,32585,32585,1,2888560,Speak_Now_World_Tour
Omaha,United States,CenturyLink Center Omaha,2,Ed Sheeran,Brett Eldredge,,27877,27877,1,2243164,The_Red_Tour
Omaha,United States,CenturyLink Center Omaha,2,Ed Sheeran,Brett Eldredge,,27877,27877,1,2243164,The_Red_Tour
St. Louis,United States,Scottrade Center,2,Ed Sheeran,Brett Eldredge,,28582,28582,1,2346203,The_Red_Tour
St. Louis,United States,Scottrade Center,2,Ed Sheeran,Brett Eldredge,,28582,28582,1,2346203,The_Red_Tour
Charlotte,United States,Time Warner Cable Arena,2,Ed Sheeran,Brett Eldredge,,14686,14686,1,1162733,The_Red_Tour
Columbia,United States,Colonial Life Arena,2,Ed Sheeran,Brett Eldredge,,12490,12490,1,996114,The_Red_Tour
Newark,United States,Prudential Center,2,"Ed Sheeran
",Florida Georgia Line,,38065,38065,1,3565317,The_Red_Tour
Newark,United States,Prudential Center,2,"Ed Sheeran
",Florida Georgia Line,,38065,38065,1,3565317,The_Red_Tour
Newark,United States,Prudential Center,2,"Ed Sheeran
",Florida Georgia Line,,38065,38065,1,3565317,The_Red_Tour
Miami,United States,American Airlines Arena,2,Ed Sheeran,Brett Eldredge,,12808,12808,1,1010175,The_Red_Tour
Orlando,United States,Amway Center,2,Ed Sheeran,Brett Eldredge,,25617,25617,1,2054128,The_Red_Tour
Orlando,United States,Amway Center,2,Ed Sheeran,Brett Eldredge,,25617,25617,1,2054128,The_Red_Tour
Atlanta,United States,Philips Arena,2,Ed Sheeran,Brett Eldredge,,25471,25471,1,2048023,The_Red_Tour
Atlanta,United States,Philips Arena,2,Ed Sheeran,Brett Eldredge,,25471,25471,1,2048023,The_Red_Tour
Tampa,United States,Tampa Bay Times Forum,2,Ed Sheeran,Brett Eldredge,,14080,14080,1,1132095,The_Red_Tour
Cleveland,United States,Quicken Loans Arena,2,Ed Sheeran,Brett Eldredge,,15336,15336,1,1247605,The_Red_Tour
Indianapolis,United States,Bankers Life Fieldhouse,2,Ed Sheeran,Brett Eldredge,,13573,13573,1,1082042,The_Red_Tour
Lexington,United States,Rupp Arena,2,Ed Sheeran,Brett Eldredge,,17003,17003,1,1342699,The_Red_Tour
Detroit,United States,Ford Field,3,Ed Sheeran,Austin Mahone,Brett Eldredge,48265,48265,1,3969059,The_Red_Tour
Louisville,United States,KFC Yum! Center,2,"Ed Sheeran
",Florida Georgia Line,,15135,15135,1,1246491,The_Red_Tour
Columbus,United States,Nationwide Arena,2,"Ed Sheeran
",Florida Georgia Line,,14267,14267,1,1155170,The_Red_Tour
Washington,United States,Verizon Center,2,Ed Sheeran,Brett Eldredge,,27619,27619,1,2489205,The_Red_Tour
Washington,United States,Verizon Center,2,Ed Sheeran,Brett Eldredge,,27619,27619,1,2489205,The_Red_Tour
Houston,United States,Toyota Center,2,Ed Sheeran,Brett Eldredge,,12467,12467,1,961422,The_Red_Tour
Austin,United States,Frank Erwin Center,2,"Ed Sheeran
",Florida Georgia Line,,11916,11916,1,935631,The_Red_Tour
San Antonio,United States,AT&T Center,2,"Ed Sheeran
",Florida Georgia Line,,13974,13974,1,1105253,The_Red_Tour
Arlington,United States,Cowboys Stadium,3,Ed Sheeran,Austin Mahone,Florida Georgia Line,53020,53020,1,4589266,The_Red_Tour
Glendale,United States,Jobing.com Arena,2,Ed Sheeran,Joel Crouse,,26705,26705,1,2239370,The_Red_Tour
Glendale,United States,Jobing.com Arena,2,Ed Sheeran,Joel Crouse,,26705,26705,1,2239370,The_Red_Tour
Salt Lake City,United States,EnergySolutions Arena,2,Ed Sheeran,Joel Crouse,,14007,14007,1,1139360,The_Red_Tour
Denver,United States,Pepsi Center,2,Ed Sheeran,Joel Crouse,,13489,13489,1,1076069,The_Red_Tour
Toronto,Canada,Rogers Centre,3,Ed Sheeran,Austin Mahone,Joel Crouse,87627,87627,1,7863310,The_Red_Tour
Toronto,Canada,Rogers Centre,3,Ed Sheeran,Austin Mahone,Joel Crouse,87627,87627,1,7863310,The_Red_Tour
